post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
179118105.people-moves-17-30-november-2025,,false,,,newsletter,only_paid,,,
179058923.people-moves-1-16-november-2025,2025-11-16T17:02:26.296Z,true,2025-11-16T17:02:26.452Z,2025-11-16T17:02:26.452Z,newsletter,only_paid,People Moves: 1-16 November 2025,"ICYMI - Balmain announces Antonin Tron as new Creative Director, Hermès appoints Anne-Sarah Panhard to lead Perfume and Beauty Division and i-D Magazine appoints Clare Byrne Global as Fashion Director",
178204646.people-moves-06112025,2025-11-06T19:02:48.745Z,true,2025-11-06T19:02:48.981Z,2025-11-06T19:02:48.981Z,newsletter,only_paid,People Moves: 06/11/2025,ICYMI - Chancerygate appoints Nikolay Velev to lead European expansion and HBR offer a Primer on Health-informed AI by Shaolei Ren and Adam Wierman,
178007468.news-and-insights-04112025,2025-11-04T18:23:35.806Z,true,2025-11-04T18:23:36.070Z,2025-11-04T18:23:36.070Z,newsletter,only_paid,News & Insights: 04/11/2025,ICYMI - Catch up on regular real estate and energy sector coverage from the likes of CBRE and Shakespeare Martineau.,
177913169.people-moves-03112025,2025-11-03T18:45:52.802Z,true,2025-11-03T18:45:53.219Z,2025-11-03T18:45:53.219Z,newsletter,only_paid,People Moves: 03/11/2025,ICYMI - Will Davies appointed as Co-Head of PBSA Valuations at Savills,
165639231.news-and-insights-10062025,2025-06-10T16:32:11.235Z,true,2025-06-10T16:32:11.379Z,2025-06-10T16:32:11.379Z,newsletter,only_paid,News & Insights: 10/06/2025,"ICYMI - First schools install Great British Energy solar panels, Becky Wood appointed as Chief Executive Officer of NISTA, and Asia Pacific continues its dominance on the global investment stage,",
165258953.news-and-insights-05062025,2025-06-05T11:18:48.190Z,true,2025-06-05T11:18:48.273Z,2025-06-05T11:18:48.273Z,newsletter,only_paid,News & Insights: 05/06/2025,"ICYMI - Antin Infrastructure COO Mélanie Biessy appointed as Interim CFO in board reshuffle, Sean Yajnik joins Macquarie Capital from TD Securities, and Colliers seals the deal with Astris Finance",
164719093.people-moves-29052025,2025-05-29T12:42:09.944Z,true,2025-05-29T12:42:10.040Z,2025-05-29T12:42:10.040Z,newsletter,only_paid,People Moves: 29/05/2025,"ICYMI - Catella appoints new CEO in European management reshuffle, New Filipino officer-in-charge appointed at DoE, and Delin Property appoints Nick Martin as Chief Financial Officer",
164637708.news-and-insights-28052025,2025-05-28T12:02:24.529Z,true,2025-05-28T12:02:24.637Z,2025-05-28T12:02:24.637Z,newsletter,only_paid,News & Insights: 28/05/2025,"ICYMI - Gcore welcomes Prof. Dr. Feiyu Xu, as a Board advisor in its Hydrogen and Gas leadership team; and Savills is appointed to market landmark residential development opportunity in Edinburgh",
164551429.news-and-insights-27052025,2025-05-27T11:47:51.205Z,true,2025-05-27T11:47:51.340Z,2025-05-27T11:47:51.340Z,newsletter,only_paid,News & Insights: 27/05/2025,"Capital targets Asia Pacific hospitality as sector evolves - Colliers report, and oil and gas industry veteran Alain Mizelle joins Record Resources as technical expert",
164225604.news-and-insights-23052025,2025-05-23T09:23:51.542Z,true,2025-05-23T09:23:51.627Z,2025-05-23T09:23:51.627Z,newsletter,only_paid,News & Insights: 23/05/2025,"ICYMI - A look back at UKREIIF 2025, Barings completes sale of four UK Logistics Assets, and Andrea Palmer is appointed as Chief Executive Officer of The CRREM Foundation",
164069179.people-moves-21052025,2025-05-21T09:32:38.727Z,true,2025-05-21T09:32:38.799Z,2025-05-21T09:32:38.799Z,newsletter,only_paid,People Moves: 21/05/2025,ICYMI - Provident Data Centers appoints Dr. Denitza Arguirova as a Director in Data Center Development,
163898948.people-moves-19052025,2025-05-19T06:19:23.662Z,true,2025-05-19T06:19:23.763Z,2025-05-19T06:19:23.763Z,newsletter,only_paid,People Moves: 19/05/2025,ICYMI - JP Morgan Asset Management appoints Chad Tredway as Global Head of Real Estate,
158907922.people-moves-12032025,2025-03-12T11:00:21.546Z,true,2025-03-12T11:00:21.650Z,2025-03-12T11:00:21.650Z,newsletter,only_paid,People Moves: 12/03/2025,"Arrow Global Group appoints Enrico Sanna as Chief Executive Officer, Platforms, Sterling and Wilson Renewable Energy appoints new Chief Financial Officer",
